ID;ID HTT;IP;MAC;Device;Root Device;LAN Port;VLAN;Local;Local (RU);ant_local;ant_name;Coordinat;Data Install;Data Update;Data Human;
98;device_97;192.168.200.86;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966428;12-20 08-07-2025;
99;device_98;192.168.200.89;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751964021;11-40 08-07-2025;
100;device_99;192.168.200.90;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751964021;11-40 08-07-2025;
101;device_100;192.168.200.91;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966432;12-20 08-07-2025;
102;device_101;192.168.200.92;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966432;12-20 08-07-2025;
103;device_102;192.168.200.93;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966433;12-20 08-07-2025;
104;device_103;﻿192.168.200.101;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966433;12-20 08-07-2025;
105;device_104;﻿192.168.200.102 ;;-;-;0;1;-;-;;;-;1609459200;1751966433;12-20 08-07-2025;
106;device_105;192.168.200.104 ;;-;-;0;1;-;-;;;-;1609459200;1751966433;12-20 08-07-2025;
107;device_106;192.168.200.105 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966433;12-20 08-07-2025;
108;device_107;192.168.200.106 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966433;12-20 08-07-2025;
109;device_108;192.168.200.111 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966434;12-20 08-07-2025;
110;device_109;192.168.200.113 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966434;12-20 08-07-2025;
111;device_110;192.168.200.114;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966434;12-20 08-07-2025;
112;device_111;192.168.200.115 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966435;12-20 08-07-2025;
113;device_112;192.168.200.117 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966435;12-20 08-07-2025;
